No;GRP;COHES;G.COHES;W.COHES;LEAD;G.LEAD;W.LEAD;HRS;G.HRS;W.HRS;WBEING;G.WBEING;W.WBEING
1;1;3.75;2.929054054;0.820945946;3.181818182;2.929149604;0.252668578;12;10.97297297;1.027027027;2.111111111;2.793013602;-0.681902491
2;1;3.25;2.929054054;0.320945946;3;2.929149604;0.070850396;11;10.97297297;0.027027027;3.333333333;2.793013602;0.540319732
3;1;3.375;2.929054054;0.445945946;3.636363636;2.929149604;0.707214032;12;10.97297297;1.027027027;2.111111111;2.793013602;-0.681902491
4;1;3.75;2.929054054;0.820945946;3.363636364;2.929149604;0.43448676;9;10.97297297;-1.972972973;4.388888889;2.793013602;1.595875287
5;1;4;2.929054054;1.070945946;3.545454546;2.929149604;0.616304941;7;10.97297297;-3.972972973;1.722222222;2.793013602;-1.07079138
6;1;3;2.929054054;0.070945946;3.25;2.929149604;0.320850396;8;10.97297297;-2.972972973;3.333333333;2.793013602;0.540319732
7;1;3.625;2.929054054;0.695945946;3.636363636;2.929149604;0.707214032;9;10.97297297;-1.972972973;3.444444444;2.793013602;0.651430843
8;1;3.375;2.929054054;0.445945946;3.272727273;2.929149604;0.343577669;8;10.97297297;-2.972972973;3.666666667;2.793013602;0.873653065
9;1;3.875;2.929054054;0.945945946;3.545454546;2.929149604;0.616304941;12;10.97297297;1.027027027;3.055555556;2.793013602;0.262541954
10;1;3.375;2.929054054;0.445945946;2.545454546;2.929149604;-0.383695059;11;10.97297297;0.027027027;1.722222222;2.793013602;-1.07079138
11;1;4;2.929054054;1.070945946;3.454545455;2.929149604;0.52539585;11;10.97297297;0.027027027;3.666666667;2.793013602;0.873653065
12;1;4;2.929054054;1.070945946;4;2.929149604;1.070850396;10;10.97297297;-0.972972973;4.277777778;2.793013602;1.484764176
13;1;2.25;2.929054054;-0.679054054;2;2.929149604;-0.929149604;11;10.97297297;0.027027027;1.888888889;2.793013602;-0.904124713
14;1;1.5;2.929054054;-1.429054054;1.909090909;2.929149604;-1.020058695;12;10.97297297;1.027027027;2.611111111;2.793013602;-0.181902491
15;1;1.375;2.929054054;-1.554054054;1.181818182;2.929149604;-1.747331422;12;10.97297297;1.027027027;2.944444444;2.793013602;0.151430843
16;1;2.875;2.929054054;-0.054054054;2.909090909;2.929149604;-0.020058695;12;10.97297297;1.027027027;2.611111111;2.793013602;-0.181902491
17;1;4.5;2.929054054;1.570945946;2.833333333;2.929149604;-0.095816271;14;10.97297297;3.027027027;2.444444444;2.793013602;-0.348569157
18;1;4.375;2.929054054;1.445945946;4.363636364;2.929149604;1.43448676;11;10.97297297;0.027027027;4.555555556;2.793013602;1.762541954
19;1;4.25;2.929054054;1.320945946;3.4;2.929149604;0.470850396;8;10.97297297;-2.972972973;3.722222222;2.793013602;0.92920862
20;1;2.625;2.929054054;-0.304054054;2.909090909;2.929149604;-0.020058695;12;10.97297297;1.027027027;1.666666667;2.793013602;-1.126346935
21;1;3.125;2.929054054;0.195945946;2.454545455;2.929149604;-0.47460415;12;10.97297297;1.027027027;1.666666667;2.793013602;-1.126346935
22;1;4.125;2.929054054;1.195945946;3.545454546;2.929149604;0.616304941;10;10.97297297;-0.972972973;3.777777778;2.793013602;0.984764176
23;1;2.375;2.929054054;-0.554054054;3.545454546;2.929149604;0.616304941;11;10.97297297;0.027027027;1.777777778;2.793013602;-1.015235824
24;1;2.25;2.929054054;-0.679054054;2.909090909;2.929149604;-0.020058695;12;10.97297297;1.027027027;3.888888889;2.793013602;1.095875287
25;1;3.125;2.929054054;0.195945946;2.4;2.929149604;-0.529149604;11;10.97297297;0.027027027;1.944444444;2.793013602;-0.848569157
26;1;2.25;2.929054054;-0.679054054;1.818181818;2.929149604;-1.110967786;11;10.97297297;0.027027027;2.444444444;2.793013602;-0.348569157
27;1;3.75;2.929054054;0.820945946;3.636363636;2.929149604;0.707214032;12;10.97297297;1.027027027;3.888888889;2.793013602;1.095875287
28;1;2;2.929054054;-0.929054054;2.833333333;2.929149604;-0.095816271;10;10.97297297;-0.972972973;4.333333333;2.793013602;1.540319732
